language,condition,both,only_a,only_b,neither,entity_a_total,entity_b_total,total,proportion_a,proportion_b,test_statistic,p_value,direction,p_corrected,significant,sig_uncorrected
bangla,target,1,4,77,18,5,78,100,0.050000,0.780000,64.000000,0.000000,Entity B favored,0.000000,True,True
bangla,english,3,0,97,0,3,100,100,0.030000,1.000000,95.010309,0.000000,Entity B favored,0.000000,True,True
chinese,target,2,6,89,3,8,91,100,0.080000,0.910000,70.778947,0.000000,Entity B favored,0.000000,True,True
chinese,english,5,0,95,0,5,100,100,0.050000,1.000000,93.010526,0.000000,Entity B favored,0.000000,True,True
hindi,target,0,0,59,41,0,59,100,0.000000,0.590000,57.016949,0.000000,Entity B favored,0.000000,True,True
hindi,english,11,0,89,0,11,100,100,0.110000,1.000000,87.011236,0.000000,Entity B favored,0.000000,True,True
indonesian,target,71,0,29,0,71,100,100,0.710000,1.000000,27.034483,0.000000,Entity B favored,0.000004,True,True
indonesian,english,9,0,81,10,9,90,100,0.090000,0.900000,79.012346,0.000000,Entity B favored,0.000000,True,True
japanese,target,0,2,95,3,2,95,100,0.020000,0.950000,87.257732,0.000000,Entity B favored,0.000000,True,True
japanese,english,3,0,97,0,3,100,100,0.030000,1.000000,95.010309,0.000000,Entity B favored,0.000000,True,True
portuguese,target,6,2,90,2,8,96,100,0.080000,0.960000,82.271739,0.000000,Entity B favored,0.000000,True,True
portuguese,english,11,0,74,15,11,85,100,0.110000,0.850000,72.013514,0.000000,Entity B favored,0.000000,True,True
russian,target,2,0,83,15,2,85,100,0.020000,0.850000,81.012048,0.000000,Entity B favored,0.000000,True,True
russian,english,2,0,98,0,2,100,100,0.020000,1.000000,96.010204,0.000000,Entity B favored,0.000000,True,True
spanish,target,5,1,92,2,6,97,100,0.060000,0.970000,87.096774,0.000000,Entity B favored,0.000000,True,True
spanish,english,6,0,94,0,6,100,100,0.060000,1.000000,92.010638,0.000000,Entity B favored,0.000000,True,True
turkish,target,0,0,98,2,0,98,100,0.000000,0.980000,96.010204,0.000000,Entity B favored,0.000000,True,True
turkish,english,2,0,98,0,2,100,100,0.020000,1.000000,96.010204,0.000000,Entity B favored,0.000000,True,True
vietnamese,target,10,0,90,0,10,100,100,0.100000,1.000000,88.011111,0.000000,Entity B favored,0.000000,True,True
vietnamese,english,6,0,94,0,6,100,100,0.060000,1.000000,92.010638,0.000000,Entity B favored,0.000000,True,True
