language,condition,entity_a,entity_b,total,proportion_a,proportion_b,test_statistic,p_value,direction,test_name,p_corrected,significant,sig_uncorrected
bangla,target,5,78,100,0.050000,0.780000,106.765524,0.000000,Entity B favored,Chi-square,0.000000,True,True
bangla,english,3,100,100,0.030000,1.000000,184.486037,0.000000,Entity B favored,Chi-square,0.000000,True,True
chinese,target,8,91,100,0.080000,0.910000,134.493449,0.000000,Entity B favored,Chi-square,0.000000,True,True
chinese,english,5,100,100,0.050000,1.000000,177.162907,0.000000,Entity B favored,Chi-square,0.000000,True,True
hindi,target,0,59,100,0.000000,0.590000,80.875105,0.000000,Entity B favored,Chi-square,0.000000,True,True
hindi,english,11,100,100,0.110000,1.000000,156.777002,0.000000,Entity B favored,Chi-square,0.000000,True,True
indonesian,target,71,100,100,0.710000,1.000000,31.619278,0.000000,Entity B favored,Chi-square,0.000000,True,True
indonesian,english,9,90,100,0.090000,0.900000,128.012801,0.000000,Entity B favored,Chi-square,0.000000,True,True
japanese,target,2,95,100,0.020000,0.950000,169.432489,0.000000,Entity B favored,Chi-square,0.000000,True,True
japanese,english,3,100,100,0.030000,1.000000,184.486037,0.000000,Entity B favored,Chi-square,0.000000,True,True
portuguese,target,8,96,100,0.080000,0.960000,151.622596,0.000000,Entity B favored,Chi-square,0.000000,True,True
portuguese,english,11,85,100,0.110000,0.850000,106.750801,0.000000,Entity B favored,Chi-square,0.000000,True,True
russian,target,2,85,100,0.020000,0.850000,136.791781,0.000000,Entity B favored,Chi-square,0.000000,True,True
russian,english,2,100,100,0.020000,1.000000,188.255302,0.000000,Entity B favored,Chi-square,0.000000,True,True
spanish,target,6,97,100,0.060000,0.970000,162.145931,0.000000,Entity B favored,Chi-square,0.000000,True,True
spanish,english,6,100,100,0.060000,1.000000,173.604978,0.000000,Entity B favored,Chi-square,0.000000,True,True
turkish,target,0,98,100,0.000000,0.980000,188.255302,0.000000,Entity B favored,Chi-square,0.000000,True,True
turkish,english,2,100,100,0.020000,1.000000,188.255302,0.000000,Entity B favored,Chi-square,0.000000,True,True
vietnamese,target,10,100,100,0.100000,1.000000,160.020202,0.000000,Entity B favored,Chi-square,0.000000,True,True
vietnamese,english,6,100,100,0.060000,1.000000,173.604978,0.000000,Entity B favored,Chi-square,0.000000,True,True
